Tahun,E_Tahunan_kWh,E_Harian_avg_Wh,E_avg_kumulatif_Wh,eta_avg,H_avg_Wh_m2,PR_avg
2026,497.633958,1363.380706,1363.380706,0.171984,8702.849206,0.911095
2027,495.972204,1358.827955,1361.104331,0.171076,8711.492162,0.911922
2028,497.194079,1358.453768,1360.219197,0.170197,8712.732283,0.916590
2029,493.723024,1352.665820,1358.332146,0.169360,8699.190957,0.919132
2030,492.738353,1349.968090,1356.660251,0.168348,8750.105807,0.917382
2031,487.131694,1334.607381,1352.986450,0.167520,8738.993441,0.911910
2032,485.900785,1327.597774,1349.352404,0.166651,8742.902109,0.911650
2033,483.008507,1323.310978,1346.099454,0.165871,8715.479795,0.916300
2034,479.307868,1313.172241,1342.443101,0.165016,8715.264672,0.913555
2035,477.534403,1308.313434,1339.032003,0.164118,8734.917315,0.913459
2036,476.476335,1301.847910,1335.644901,0.163383,8696.815453,0.916733
2037,475.339839,1302.300930,1332.868138,0.162371,8759.122103,0.916397
2038,470.430498,1288.850679,1329.484319,0.161628,8726.832265,0.914585
2039,465.568488,1275.530105,1325.632708,0.160851,8706.577368,0.910974
2040,465.696141,1272.393829,1322.076324,0.159988,8721.638668,0.912198
2041,461.035371,1263.110605,1318.393489,0.159250,8689.749679,0.913278
2042,459.550897,1259.043553,1314.904565,0.158317,8733.750823,0.910779
2043,458.169450,1255.258767,1311.592926,0.157505,8733.777024,0.912984
2044,456.293680,1246.704043,1308.170832,0.156801,8694.714453,0.915214
2045,453.539302,1242.573431,1304.893207,0.155877,8739.438663,0.912622
2046,449.627968,1231.857448,1301.417581,0.155142,8715.164041,0.911433
2047,446.545698,1223.412872,1297.874119,0.154356,8711.895065,0.909569
2048,446.536084,1220.043945,1294.483351,0.153553,8716.413603,0.911953
2049,439.807280,1204.951452,1290.755408,0.152796,8703.648358,0.906380
2050,441.618498,1209.913693,1287.523864,0.151825,8777.113391,0.908360
2051,438.828465,1202.269768,1284.246933,0.151214,8710.519067,0.913535
2052,436.377147,1192.287287,1280.834113,0.150475,8696.996744,0.911356
2053,432.627704,1185.281382,1277.423851,0.149715,8691.484146,0.911611
2054,433.632901,1188.035345,1274.343526,0.148804,8748.575563,0.913210
2055,428.930914,1175.153189,1271.039293,0.148116,8719.067139,0.910469
2056,427.342542,1167.602573,1267.695847,0.147331,8729.590909,0.907932
2057,421.174591,1153.902990,1264.142254,0.146697,8678.847580,0.906732
2058,420.570470,1152.247862,1260.753766,0.145831,8725.248190,0.905910
2059,420.136520,1151.058960,1257.529527,0.145023,8749.067075,0.907362
2060,417.179809,1139.835543,1254.160002,0.144387,8706.388980,0.907105
2061,416.368183,1140.734747,1251.011457,0.143603,8722.882146,0.911128
2062,412.799059,1130.956326,1247.768885,0.142917,8702.271276,0.909987
2063,409.347852,1121.500964,1244.448200,0.142225,8685.559308,0.908237
2064,407.045554,1112.146321,1241.048938,0.141535,8668.888475,0.906779
2065,405.148352,1109.995484,1237.774844,0.140686,8721.162519,0.904927
2066,400.939779,1098.465148,1234.379315,0.140016,8697.541166,0.902355
2067,401.419798,1099.780268,1231.176665,0.139232,8726.942564,0.905455
2068,400.891040,1095.330711,1228.011020,0.138514,8728.318722,0.906467
2069,396.447927,1086.158704,1224.789311,0.137753,8748.101773,0.901164
2070,398.099779,1090.684326,1221.811194,0.137014,8762.790346,0.908904
2071,394.002291,1079.458331,1218.718593,0.136391,8728.533070,0.907068
2072,391.998647,1071.034555,1215.569973,0.135729,8712.956629,0.906492
2073,388.096614,1063.278395,1212.399404,0.135053,8703.633003,0.905095
2074,384.307646,1052.897660,1209.146448,0.134319,8721.787819,0.898173
2075,384.826293,1054.318610,1206.051926,0.133647,8712.681550,0.905764
